code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
81590,立花エレ,2025年3月期 第1四半期決算短信〔日本基準〕(連結）,2024-08-06 16:45:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,51741000000,6481000000,1376000000,2042000000,1346000000,56.27,173272000000,92889000000,,,,,,,
18140,大末建,2025年３月期 第１四半期決算短信〔日本基準〕（連結）,2024-08-06 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,19901000000,1743000000,520000000,557000000,379000000,36.51,58952000000,22797000000,,,,,,,
19450,東京エネシス,2025年３月期 第１四半期決算短信〔日本基準〕(連結),2024-08-06 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,14096000000,,-367000000,262000000,712000000,21.29,98841000000,68174000000,,,,,,,
20010,ニップン,2025年３月期 第１四半期決算短信〔日本基準〕（連結）,2024-08-06 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,101969000000,24623000000,5132000000,6543000000,9433000000,120.98,399750000000,236334000000,,,,,,,
30590,ヒラキ,2025年３月期　第１四半期決算短信〔日本基準〕（連結）,2024-08-06 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,3544682000,1687553000,175215000,185374000,128000000,26.44,17772000000,7427000000,4695145000,,636092000,-209794000,1406513000,,
31760,三洋貿易,2024年９月期 第３四半期決算短信〔日本基準〕(連結),2024-08-06 16:00:00,"DurationPeriod(start_date=datetime.date(2022, 10, 1), end_date=datetime.date(2023, 6, 30))",True,95946953000,16696952000,5877731000,7293104000,4722000000,164.07,77032000000,48171000000,,,,,,,
32890,東急不ＨＤ,2025年３月期 第１四半期決算短信〔日本基準〕（連結）,2024-08-06 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,267179000000,,31636000000,29345000000,18900000000,26.52,2943642000000,769224000000,,,,,,,
40920,日本化,2025年3月期第1四半期決算短信〔日本基準〕（連結）,2024-08-06 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,10379000000,3047000000,1688000000,1741000000,1252000000,141.94,77141000000,46456000000,,,,,,,
43190,ＴＡＣ,2025年3月期第1四半期決算短信〔日本基準〕（連結）,2024-08-06 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,5023117000,2064656000,318366000,298384000,196000000,10.85,19867000000,6010000000,,,,,,,
46740,クレスコ,2025年３月期第１四半期決算短信〔日本基準〕(連結),2024-08-06 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,13758514000,2497580000,870023000,1027844000,756000000,18.35,40094000000,28515000000,,,,,,,
