code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
27640,ひらまつ,（訂正・数値データ訂正）「固定資産の譲渡による特別利益の計上並びに 業績予想の修正に関するお知らせ」の一部訂正について,2024-06-21 19:20:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,6454000000,,-133000000,-175000000,-153000000,-2.92,,,,,,,,,
27640,ひらまつ,固定資産の譲渡による特別利益の計上並びに 業績予想の修正に関するお知らせ,2024-06-21 17:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,6454000000,,-133000000,-175000000,-153000000,-2.92,,,,,,,,,
40690,Ｇ－ＢｌｕｅＭｅｍｅ,(訂正・数値データ訂正)「2024年３月期 決算短信〔日本基準〕(連結)」の一部訂正について,2024-06-21 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,2506780000,1265547000,253037000,254850000,174000000,50.49,3733000000,2609000000,2228759000,,252000000,-106000000,-141000000,0.066,0.07
41790,Ｇ－ジーネクスト,通期業績予想の修正に関するお知らせ,2024-06-21 17:00:00,,True,610000000,,-140000000,-150000000,,-35.57,,,,,,,,,
42950,フェイス,組織改革に向けた転進支援施策の実施結果および業績予想の修正に関するお知らせ,2024-06-21 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,15738000000,,-534000000,-564000000,-1096000000,-101.13,,,,,,,,,
94160,ビジョン,2024年12月期第２四半期(累計)連結業績予想および通期連結業績予想ならびに剰余金の配当（中間配当）予想の修正に関するお知らせ,2024-06-21 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 6, 30))",True,15620000000,,2428000000,2462000000,3025000000,32.98,,,,,,,,,
31610,アゼアス,（訂正・数値データ訂正）「2024年4月期 決算短信〔日本基準〕（連結）」の一部訂正について,2024-06-21 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 5, 1), end_date=datetime.date(2023, 4, 30))",True,8242294000,1686162000,291830000,308479000,187650000,,8512747000,6555999000,2590066000,,-7023000,22097000,-240001000,,
89860,Ｒ－大和証券リビング,2024年９月期（第37期）の運用状況及び分配金の予想の修正に関するお知らせ,2024-06-21 15:30:00,,True,14142000000,,6599000000,5813000000,,2631,,,,,,,,,
91620,Ｇ－ブリーチ,通期業績予想の修正に関するお知らせ,2024-06-21 15:30:00,,True,16377000000,,2173000000,2147000000,,73.07,,,,,,,,,
18710,ＰＳ三菱,（訂正・数値データ訂正）「2024年３月期　決算短信〔日本基準〕（連結）」の一部訂正について,2024-06-21 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,129294000000,18787000000,7827000000,7743000000,5054000000,,122118000000,47974000000,11163000000,,15944000000,-1918000000,-12219000000,,
19750,朝日工,（訂正・数値データ訂正）「2024年３月期　決算短信〔日本基準〕（連結）」の一部訂正について,2024-06-21 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,91676000000,11652000000,4568000000,4896000000,3712000000,144.35,84012000000,38756000000,17979000000,,2010000000,-304000000,-1293000000,0.1,0.06
33910,ツルハＨＤ,2024年５月期　決算短信〔日本基準〕（連結）,2024-06-21 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 5, 16), end_date=datetime.date(2023, 5, 15))",True,1027462000000,312276000000,49205000000,49304000000,24105000000,495.85,549220000000,281926000000,58554000000,,51964000000,-36068000000,-36259000000,0.086,0.091
46590,エイジス,連結子会社からの配当金受領及び2025年３月期個別業績予想の修正に関するお知らせ,2024-06-21 15:00:00,,True,15808000000,,,2372000000,,207.19,,,,,,,,,
56980,エンビプロＨＤ,特別損失の計上、業績予想及び配当予想の修正に関するお知らせ,2024-06-21 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 7, 1), end_date=datetime.date(2024, 6, 30))",True,49189000000,,1542000000,1901000000,1236000000,41.64,,,,,,,,,
61850,ＳＭＮ,（訂正・数値データ訂正）「2024年3月期 決算短信〔日本基準〕（連結）」の一部訂正について,2024-06-21 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,9336856000,2595579000,102212000,95990000,-1028000000,-70.79,6674000000,3666000000,2433603000,,521000000,-463000000,-228000000,-0.246,0.013
70840,Ｇ－キッズスマイル,業績予想に関するお知らせ,2024-06-21 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,12867000000,,232000000,311000000,132000000,40.79,,,,,,,,,
78600,エイベックス,業績予想の修正に関するお知らせ,2024-06-21 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,,,1265000000,,987000000,21.83,,,,,,,,,
70030,三井Ｅ＆Ｓ,（訂正・数値データ訂正）「2024年３月期決算短信〔日本基準〕(連結)」の一部訂正について,2024-06-21 13:30:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,301875000000,47243000000,19630000000,20711000000,25051000000,,467140000000,83083000000,33516000000,,-34435000000,-354000000,24110000000,,
