code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
32050,ダイドー,株主還元に関する方針及び配当予想の修正（増配）に関するお知らせ,2024-07-04 18:40:00,,True,,,,,,,,,,,,,,,
24930,イーサポート,2024年11月期　第2四半期決算短信〔日本基準〕（連結）,2024-07-04 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 12, 1), end_date=datetime.date(2023, 5, 31))",True,2574767000,917856000,72680000,82352000,35000000,7.92,5238000000,3427000000,2645922000,,105623000,-228111000,-234135000,,
33770,バイク王,2024年11月期　第２四半期決算短信〔日本基準〕(連結),2024-07-04 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 12, 1), end_date=datetime.date(2024, 5, 31))",True,16493549000,6061064000,-244201000,-102394000,-146000000,-10.47,12914000000,6237000000,2925424000,,1337339000,-197724000,-370622000,,
47280,トーセ,2024年８月期第３四半期決算短信〔日本基準〕(連結),2024-07-04 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 9, 1), end_date=datetime.date(2023, 5, 31))",True,3243303000,174905000,-599325000,-580377000,-367000000,-48.44,7168000000,5936000000,,,,,,,
99480,アークス,2025年２月期 第１四半期決算短信〔日本基準〕（連結）,2024-07-04 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2023, 5, 31))",True,148824000000,37314000000,3870000000,4264000000,2664000000,49.35,278133000000,178535000000,77975000000,,7526000000,-2431000000,-1851000000,,
30350,ＫＴＫ,2024年8月期 第3四半期決算短信〔日本基準〕(連結),2024-07-04 15:10:00,"DurationPeriod(start_date=datetime.date(2022, 8, 21), end_date=datetime.date(2023, 5, 20))",True,13396714000,3138414000,310924000,391128000,281000000,51.82,9934000000,4117000000,,,,,,,
28090,キユーピー,2024年11月期 第2四半期決算短信〔日本基準〕(連結),2024-07-04 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 12, 1), end_date=datetime.date(2023, 5, 31))",True,236834000000,73182000000,18882000000,20306000000,12513000000,90.02,432619000000,291700000000,67243000000,,32183000000,-12377000000,-15375000000,,
28300,アヲハタ,2024年11月期　第２四半期決算短信〔日本基準〕（連結）,2024-07-04 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 12, 1), end_date=datetime.date(2023, 5, 31))",True,10469575000,2485657000,108680000,108662000,46000000,5.59,17502000000,13335000000,1793759000,,704812000,23030000,-225358000,,
35490,クスリのアオキＨＤ,2024年５月期　決算短信〔日本基準〕（連結）,2024-07-04 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 5, 21), end_date=datetime.date(2023, 5, 20))",True,436875000000,118090000000,18569000000,20101000000,12307000000,130.11,303453000000,110557000000,48974000000,,26864000000,-21104000000,344000000,0.118,0.07
80160,オンワードＨＤ,2025年２月期第１四半期決算短信〔日本基準〕（連結）,2024-07-04 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2023, 5, 31))",True,51376000000,29143000000,5074000000,5195000000,4019000000,29.61,172839000000,82372000000,,,,,,,
93690,キユソ流通,2024年11月期　第２四半期決算短信〔日本基準〕（連結）,2024-07-04 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 12, 1), end_date=datetime.date(2023, 5, 31))",True,95351000000,,3239000000,2968000000,1655000000,66.62,122306000000,41767000000,4361000000,,4975000000,-4443000000,-35000000,,
94140,日本ＢＳ放送,2024年８月期 第３四半期決算短信〔日本基準〕(連結),2024-07-04 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 9, 1), end_date=datetime.date(2023, 5, 31))",True,9067838000,4313386000,1556518000,1561958000,1076000000,60.44,25021000000,23202000000,,,,,,,
