code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
35470,串カツ田中ＨＤ,配当予想の修正に関するお知らせ,2024-11-15 16:00:00,,True,,,,,,,,,,,,,,,
44450,Ｇ－リビンＴ,2024年９月期　決算短信〔日本基準〕（連結）,2024-11-15 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 10, 1), end_date=datetime.date(2024, 9, 30))",True,3570151000,,207037000,209075000,114000000,84.86,3400000000,1549000000,1871001000,,103000000,-509000000,1169000000,0.074,0.061
83040,あおぞら,2025年３月期　第２四半期（中間期）決算短信〔日本基準〕（連結）,2024-11-15 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 9, 30))",True,,,,9994000000,11919000000,93.37,7688637000000,451561000000,,,,,,,
89520,Ｒ－ジャパン,2024年9月期　決算短信（REIT）,2024-11-15 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,42581000000,,20640793000,19523000000,,13241,1069551000000,,30683932000,,36786000000,-5807000000,-39680000000,,0.018
27880,アップル,通期連結業績予想及び期末配当予想の修正に関するお知らせ,2024-11-15 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 12, 31))",True,30911000000,,1098000000,1271000000,1007000000,78.17,,,,,,,,,
49190,ミルボン,2024年12月期（第65期）第3四半期　決算短信〔日本基準〕(連結),2024-11-15 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 1, 1), end_date=datetime.date(2023, 9, 30))",True,36993567000,23659085000,4854045000,4881111000,3393000000,104.25,54812000000,46682000000,,,,,,,
62330,ＫＬＡＳＳ,令和６年９月期決算短信〔日本基準〕（連結）,2024-11-15 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 10, 1), end_date=datetime.date(2023, 9, 30))",True,9781915000,2928258000,115249000,112050000,76000000,14.15,10124000000,2933000000,1064646000,,705000000,-161000000,-282000000,0.026,0.011
92330,アジア航測,2024年９月期 決算短信〔日本基準〕（連結）,2024-11-15 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 10, 1), end_date=datetime.date(2023, 9, 30))",True,40270804000,10980313000,2850108000,3039548000,1902000000,104.73,36413000000,20953000000,6697584000,,594000000,-2178000000,102000000,0.093,0.087
78390,ＳＨＯＥＩ,2024年９月期　期末配当予想の修正に関するお知らせ,2024-11-15 13:30:00,,True,,,,,,,,,,,,,,,
78390,ＳＨＯＥＩ,2024年９月期　決算短信〔日本基準〕（連結）,2024-11-15 13:30:00,"DurationPeriod(start_date=datetime.date(2022, 10, 1), end_date=datetime.date(2023, 9, 30))",True,35790722000,16115310000,10330163000,10502792000,7377000000,139.9,35085000000,29532000000,15352423000,,9789000000,-3275000000,-5724000000,0.26,0.309
37100,ジョルダン,令和6年9月期決算短信〔日本基準〕(連結),2024-11-15 12:00:00,"DurationPeriod(start_date=datetime.date(2022, 10, 1), end_date=datetime.date(2023, 9, 30))",True,2928239000,1179549000,-189672000,-166309000,-118000000,-23.24,5296000000,4404000000,2967251000,,29000000,-164000000,-107000000,-0.026,-0.03
98230,マミーマート,（訂正・数値データ訂正）「2024年９月期 決算短信〔日本基準〕（連結）」の一部訂正について,2024-11-15 10:00:00,"DurationPeriod(start_date=datetime.date(2022, 10, 1), end_date=datetime.date(2023, 9, 30))",True,158458000000,36766000000,6434000000,6954000000,4733000000,,73383000000,37634000000,2652000000,,925000000,-5741000000,560000000,,
31380,Ｇ－富士山マガジン,（訂正・数値データ訂正）「2024年12月期 第3四半期決算短信［日本基準］（連結）」の一部訂正について,2024-11-15 08:45:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 9, 30))",True,4133000000,,213000000,207000000,117000000,35.85,5504000000,2331000000,,,,,,,
