code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
23750,ギグワークス,2024年10月期(通期)連結業績予想および配当予想の修正に関するお知らせ,2024-11-27 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 11, 1), end_date=datetime.date(2024, 10, 31))",True,26432000000,,111000000,111000000,-718000000,-36.63,,,,,,,,,
30030,ヒューリック,2024年12月期第３四半期決算短信〔日本基準〕(連結)（公認会計士等による期中レビューの完了）,2024-11-27 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 1, 1), end_date=datetime.date(2023, 9, 30))",True,314985000000,,88810000000,81641000000,54596000000,71.72,2834350000000,780357000000,,,,,,,
31610,アゼアス,業績予想の修正に関するお知らせ,2024-11-27 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 5, 1), end_date=datetime.date(2024, 10, 31))",True,4129000000,,150000000,161000000,,18.52,,,,,,,,,
59590,岡部,2024年12月期 通期連結業績予想の修正に関するお知らせ,2024-11-27 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 12, 31))",True,78152000000,,4082000000,4303000000,-5472000000,-118.22,,,,,,,,,
70350,ａｎｆａｃ,(訂正・数値データ訂正) 「2024 年８月期 決算短信〔日本基準〕(非連結)」の一部訂正について,2024-11-27 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 9, 1), end_date=datetime.date(2024, 8, 31))",True,5024345000,1391905000,-317527000,-344873000,,,2627362000,1209605000,1563860000,,1826797000,1662980000,-2851282000,,
60310,Ｇ－ＺＥＴＡ,特別利益の計上及び2024年12月期連結業績予想修正のお知らせ,2024-11-27 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 7, 1), end_date=datetime.date(2024, 12, 31))",True,800000000,,15000000,15000000,140000000,6.76,,,,,,,,,
69420,ソフィアＨＤ,通期連結業績予想の修正に関するお知らせ,2024-11-27 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,9031000000,,236000000,173000000,,-33.5,,,,,,,,,
69520,カシオ計,2025年3月期第2四半期（中間期）決算短信〔日本基準〕(連結),2024-11-27 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 9, 30))",True,136947000000,61073000000,10341000000,9932000000,3580000000,15.58,346066000000,219616000000,145068000000,,12954000000,117000000,-10888000000,,
75010,ティムコ,通期業績予想の修正及び特別損失の計上見込み、並びに配当予想の修正に関するお知らせ,2024-11-27 12:00:00,,True,3403000000,,116000000,118000000,,43.89,,,,,,,,,
30240,クリエイト,(訂正・数値データ訂正)「2025年３月期　第２四半期（中間期）決算短信[日本基準](連結)」の一部訂正について,2024-11-27 11:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,17384000000,,218000000,200000000,107000000,27.43,18204000000,4927000000,,,,,,,
