code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
97310,白洋舎,（訂正・数値データ訂正）「2024年12月期第３四半期決算短信〔日本基準〕（連結）」の一部訂正について,2024-11-21 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 1, 1), end_date=datetime.date(2023, 9, 30))",True,32434000000,5103000000,1844000000,2013000000,1609000000,,32660000000,8505000000,,,,,,,
24970,Ｇ－ＵＮＩＴＥＤ,2025年３月期通期連結業績予想の修正に関するお知らせ,2024-11-21 16:35:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,11400000000,,2700000000,2600000000,1450000000,36.5,,,,,,,,,
37260,フォーシーズＨＤ,（訂正・数値データ訂正）「2024年９月期 決算短信〔日本基準〕（連結）」の一部訂正について,2024-11-21 16:00:00,"DurationPeriod(start_date=datetime.date(2022, 10, 1), end_date=datetime.date(2023, 9, 30))",True,2257804000,1493491000,-126174000,-129355000,-273000000,-31.27,2293000000,1170000000,786592000,,-361000000,-50000000,708000000,-0.324,-0.066
175A0,Ｇ－ウィルスマート,通期業績予想の修正に関するお知らせ,2024-11-21 15:30:00,,True,1085000000,,,35000000,,21.78,,,,,,,,,
39980,Ｇ－すららネット,通期連結業績予想の修正に関するお知らせ,2024-11-21 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 12, 31))",True,2145000000,,387000000,392000000,304000000,46.3,,,,,,,,,
47280,トーセ,（訂正・数値データ訂正）「2024年８月期　決算短信〔日本基準〕(連結)」の一部訂正について,2024-11-21 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 9, 1), end_date=datetime.date(2023, 8, 31))",True,4615576000,517671000,-522339000,-501865000,-260924000,,7227355000,5916999000,1278578000,,-1286290000,196410000,-189962000,,
70680,Ｇ－ＦフォースＧ,配当方針の変更及び配当予想の修正（初配当）に関するお知らせ,2024-11-21 15:30:00,,True,,,,,,,,,,,,,,,
81850,チヨダ,2025年２月期通期連結・個別業績予想の修正および関係会社株式売却損（特別損失）の計上に関するお知らせ,2024-11-21 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 3, 1), end_date=datetime.date(2025, 2, 28))",True,93320000000,,1071000000,1474000000,,52.68,,,,,,,,,
24400,ぐるなび,通期業績予想の上方修正及び特別損失の計上に関するお知らせ,2024-11-21 15:15:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,12982000000,,-339000000,-277000000,-363000000,-8.98,,,,,,,,,
