code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
27760,新都ＨＤ,（訂正・数値データ訂正）「2024年１月期決算短信［日本基準］（連結）」の一部訂正に関するお知らせ,2024-03-19 18:00:00,"DurationPeriod(start_date=datetime.date(2022, 2, 1), end_date=datetime.date(2023, 1, 31))",True,6293269000,132931000,-295812000,-271250000,-394000000,-12.35,1412000000,821000000,180726000,,-206000000,6000000,-44000000,-0.386,-0.159
41660,Ｇ－かっこ,（訂正・数値データ訂正）「 2023年12月期 決算短信〔日本基準〕(非連結)」の一部訂正について,2024-03-19 18:00:00,"DurationPeriod(start_date=datetime.date(2023, 1, 1), end_date=datetime.date(2023, 12, 31))",True,952627000,586505000,-108011000,-117884000,,-121.13,1286000000,1072000000,941093000,,-49000000,-69000000,98000000,-0.262,-0.084
43730,シンプレクスＨＤ,配当方針の変更および配当予想の修正（増配）に関するお知らせ,2024-03-19 18:00:00,,True,,,,,,,,,,,,,,,
34150,トウキョウベース,（訂正・数値データ訂正）「2024年1月期　決算短信〔日本基準〕（連結）」の一部訂正に関するお知らせ,2024-03-19 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 2, 1), end_date=datetime.date(2023, 1, 31))",True,19986284000,10015475000,881231000,1122385000,335000000,7.31,11888000000,5525000000,4163366000,,828000000,-115000000,934000000,0.062,0.097
55880,Ｇ－ファーストＡ,株式分割、株式分割に伴う定款の一部変更および配当予想の修正に関するお知らせ,2024-03-19 17:00:00,,True,,,,,,,,,,,,,,,
63560,日ギア,業績予想の修正及び配当予想の修正（増配）に関するお知らせ,2024-03-19 17:00:00,,True,7520000000,,964000000,999000000,,48.12,,,,,,,,,
73520,Ｇ－ＴＷＯＳＴＯＮＥ,連結業績予想の修正に関するお知らせ,2024-03-19 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 9, 1), end_date=datetime.date(2024, 8, 31))",True,10056000000,,319000000,313000000,170000000,8.11,,,,,,,,,
81980,ＭＶ東海,通期連結業績予想の修正に関するお知らせ,2024-03-19 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2024, 2, 29))",True,351107000000,,10302000000,10285000000,6169000000,193.82,,,,,,,,,
94360,沖縄セルラー,期末配当予想の修正（増配）に関するお知らせ,2024-03-19 17:00:00,,True,,,,,,,,,,,,,,,
66760,メルコ,持分法適用関連会社の異動（株式譲渡）及び特別利益の計上並びに業績予想の修正に関するお知らせ,2024-03-19 16:10:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,142576000000,,4518000000,4718000000,,181.23,,,,,,,,,
