code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
21680,パソナグループ,子会社株式に対する合意書の締結及び特別利益・特別損失の計上見込み並びに2024年５月期通期連結業績予想の修正に関するお知らせ,2024-02-08 17:40:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2024, 5, 31))",True,372579000000,,14377000000,15366000000,6099000000,155.7,,,,,,,,,
24120,ベネ・ワン,2024年３月期の通期連結業績予想及び期末配当予想の修正（無配）並びに株主優待制度の廃止に関するお知らせ,2024-02-08 17:40:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,42376000000,,10484000000,10565000000,7655000000,48.29,,,,,,,,,
23320,クエスト,2024年3月期 第3四半期決算短信〔日本基準〕（連結）,2024-02-08 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2022, 12, 31))",True,10588347000,2010270000,791655000,840547000,565000000,105.63,8916000000,6607000000,,,,,,,
24540,オールアバウト,2024年３月期 第３四半期決算短信〔日本基準〕（連結）,2024-02-08 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2022, 12, 31))",True,11676170000,6891509000,-396061000,-372486000,-258000000,-18.74,9842000000,4281000000,,,,,,,
36340,ソケッツ,2024年３月期 第３四半期決算短信〔日本基準〕（非連結）,2024-02-08 17:00:00,,True,723598000,327401000,-82190000,-78634000,,-32.03,966000000,689000000,,,,,,,
45540,富士製薬,2024年9月期第1四半期決算短信〔日本基準〕(連結),2024-02-08 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 10, 1), end_date=datetime.date(2022, 12, 31))",True,10746000000,3552000000,-140000000,-96000000,2739000000,112.73,84583000000,41979000000,,,,,,,
63620,石井鉄,2024年３月期　第３四半期決算短信〔日本基準〕(連結),2024-02-08 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2022, 12, 31))",True,6817198000,1907148000,893788000,1023872000,731000000,209.64,20788000000,11863000000,,,,,,,
63620,石井鉄,業績予想の修正に関するお知らせ,2024-02-08 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,11121000000,,1066000000,1107000000,717000000,198.04,,,,,,,,,
64030,水道機工,2024年3月期 第3四半期決算短信〔日本基準〕（連結）,2024-02-08 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2022, 12, 31))",True,12215000000,2177000000,-523000000,-796000000,-681000000,-158.92,22989000000,8791000000,,,,,,,
64060,フジテック,2024年3月期　第3四半期決算短信〔日本基準〕（連結）,2024-02-08 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2022, 12, 31))",True,166902000000,35163000000,10843000000,14443000000,15681000000,201.02,254791000000,147768000000,,,,,,,
