code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
76770,ヤシマキザイ,（訂正・数値データ訂正）「2024年3月期 決算短信〔日本基準〕(連結)」の一部訂正に関するお知らせ,2024-06-05 16:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,27729860000,3970857000,364859000,490972000,392000000,137.16,25066000000,9779000000,10057362000,,3388000000,-45000000,-65000000,0.041,0.021
35440,サツドラＨＤ,通期業績予想の修正に関するお知らせ,2024-06-05 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 5, 16), end_date=datetime.date(2024, 5, 15))",True,87481000000,,299000000,327000000,87000000,6.33,,,,,,,,,
76190,田中商事,(訂正・数値データ訂正)「2024年３月期 決算短信〔日本基準〕（連結）」の一部訂正について,2024-06-05 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,41776751000,6246886000,1601150000,1610098000,1177000000,140.23,31096000000,14188000000,4196220000,,2510000000,-662000000,-397000000,0.085,0.055
79830,ミロク,2024年10月期第2四半期連結業績予想及び通期連結業績予想の修正に関するお知らせ,2024-06-05 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 11, 1), end_date=datetime.date(2024, 4, 30))",True,5960000000,,523000000,653000000,433000000,146.98,,,,,,,,,
21300,メンバーズ,（訂正・数値データ訂正）「2024年３月期 決算短信〔ＩＦＲＳ〕（連結）」の一部訂正に関するお知らせ,2024-06-05 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,20467084000,4292071000,41000000,,126000000,9.71,11527000000,,3776990000,,584000000,-100000000,-1187000000,0.021,0.012
72650,エイケン工業,2024年10月期　第２四半期決算短信〔日本基準〕（非連結）,2024-06-05 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 11, 1), end_date=datetime.date(2024, 4, 30))",True,3560875000,492160000,114281000,122675000,,83.08,7384000000,5689000000,888665000,,411875000,-179800000,-114013000,,
76050,フジコーポレーション,2024年10月期第2四半期決算短信〔日本基準〕(非連結),2024-06-05 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 11, 1), end_date=datetime.date(2024, 4, 30))",True,27260502000,8715559000,3715919000,3822296000,,148.39,36762000000,26986000000,8750162000,,7250684000,-123126000,-351813000,,
