code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
59320,三協立山,（訂正・数値データ訂正）「業績予想の修正に関するお知らせ」の一部訂正について,2024-12-27 17:00:00,"DurationPeriod(start_date=datetime.date(2024, 6, 1), end_date=datetime.date(2024, 11, 30))",True,181372000000,,2478000000,2747000000,1287000000,41.07,,,,,,,,,
70690,Ｇ－サイバー・バズ,(訂正・数値データ訂正)「2024 年９月期決算短信[日本基準]（連結）」の一部訂正について,2024-12-27 16:50:00,"DurationPeriod(start_date=datetime.date(2022, 10, 1), end_date=datetime.date(2023, 9, 30))",True,7462203000,2901347000,-1719481000,-1712067000,-1954414000,,2782507000,197409000,528651000,,-933675000,-652226000,748908000,,
45970,Ｇ－ソレイジア,通期業績予想の修正およびダルビアス中国権利導出状況に関するお知らせ,2024-12-27 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 12, 31))",True,617000000,,-1139000000,,-1112000000,-6.62,,,,,,,,,
98720,北恵,2024年11月期決算短信〔日本基準〕(非連結),2024-12-27 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 11, 21), end_date=datetime.date(2024, 11, 20))",True,61286027000,6591746000,920394000,1096869000,,77.47,29082000000,13748000000,11848948000,,603000000,-66000000,-337000000,0.053,0.038
29350,ピックルスＨＤ,2025年２月期　第３四半期決算短信〔日本基準〕（連結）,2024-12-27 15:50:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2023, 11, 30))",True,31778000000,6521000000,1312000000,1374000000,921000000,74.11,30935000000,18428000000,,,,,,,
59900,スーパーツール,当社一部事業再編に伴う連結子会社の事業撤退並びに特別損失の計上及び業績予想の修正に関するお知らせ,2024-12-27 15:40:00,"DurationPeriod(start_date=datetime.date(2024, 3, 16), end_date=datetime.date(2025, 3, 15))",True,5853000000,,428000000,446000000,305000000,131.64,,,,,,,,,
192A0,Ｇ－インテグループ,2025年５月期 第２四半期（中間期）決算短信〔日本基準〕（非連結）,2024-12-27 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 6, 1), end_date=datetime.date(2024, 11, 30))",True,1334756000,812727000,530668000,518445000,,161.81,2610000000,1909000000,2276031000,,148237000,,212032000,,
21640,Ｇ－地域新聞社,2025年８月期第１四半期決算短信[日本基準]（非連結）,2024-12-27 15:30:00,,True,788381000,567685000,11520000,5442000,,1,1554000000,608000000,,,,,,,
26850,アダストリア,2025年２月期　第３四半期決算短信〔日本基準〕(連結),2024-12-27 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2023, 11, 30))",True,220089000000,122897000000,14770000000,14967000000,9907000000,215.71,146276000000,76700000000,,,,,,,
27420,ハローズ,2025年２月期　第３四半期決算短信〔日本基準〕（非連結）,2024-12-27 15:30:00,,True,151395000000,38789000000,8660000000,8691000000,,278.13,122673000000,67214000000,,,,,,,
27780,パレモ・ＨＤ,2025年２月期　第３四半期決算短信〔日本基準〕（連結）,2024-12-27 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 2, 21), end_date=datetime.date(2023, 11, 20))",True,11236882000,5950022000,196510000,144771000,37000000,3.08,7495000000,1651000000,,,,,,,
30100,ポラリスＨＤ,2025年3月期業績予想の修正（上方修正）及び配当予想に関するお知らせ,2024-12-27 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,22545000000,,3382000000,2609000000,3297000000,26.86,,,,,,,,,
30500,ＤＣＭ,2025年２月期　第３四半期決算短信〔日本基準〕（連結）,2024-12-27 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2023, 11, 30))",True,410606000000,139964000000,27855000000,25844000000,15346000000,114.6,693191000000,261931000000,,,,,,,
30750,銚子丸,2025年２月期　第２四半期（中間期）決算短信［日本基準］(非連結),2024-12-27 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 5, 16), end_date=datetime.date(2024, 11, 15))",True,10689638000,6562200000,618511000,628767000,,19.05,12643000000,9398000000,6027168000,,420524000,-632937000,61230000,,
48250,ＷＮＩウェザー,2025年５月期 第２四半期（中間期）決算短信〔日本基準〕（連結）,2024-12-27 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 11, 30))",True,11609356000,5444804000,1676718000,1622376000,1134000000,51.3,23385000000,20232000000,,,,,,,
60830,ＥＲＩ　ＨＤ,2025年５月期第２四半期（中間期）決算短信〔日本基準〕(連結),2024-12-27 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 11, 30))",True,8976344000,2841980000,565060000,601171000,339000000,44.17,12532000000,5625000000,5950695000,,428480000,-940915000,-189958000,,
62640,マルマエ,2025年8月期 第1四半期決算短信[日本基準](非連結),2024-12-27 15:30:00,,True,1911986000,647405000,444842000,443852000,,24.35,11615000000,7218000000,,,,,,,
82170,オークワ,2025年２月期第３四半期決算短信〔日本基準〕(連結),2024-12-27 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 2, 21), end_date=datetime.date(2023, 11, 20))",True,174334000000,47848000000,127000000,198000000,-114000000,-2.67,129269000000,75358000000,,,,,,,
96510,日プロ,2025年５月期 第２四半期（中間期）決算短信 〔日本基準〕（連結）,2024-12-27 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 11, 30))",True,4962760000,1054199000,538231000,654112000,464000000,48.06,12939000000,10925000000,3936005000,,-327219000,-121199000,-193129000,,
79210,ＴＡＫＡＲＡ＆ＣＯ,2025年５月期　第２四半期（中間期）決算短信〔日本基準〕（連結）,2024-12-27 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 11, 30))",True,14876830000,6217727000,2100214000,2216149000,1460000000,112.55,35208000000,28294000000,16429499000,,2895034000,-456174000,-532577000,,
80110,三陽商,2025年２月期 第３四半期決算短信〔日本基準〕（連結）,2024-12-27 11:00:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2023, 11, 30))",True,43525000000,27574000000,1422000000,1497000000,1198000000,103.45,58854000000,39599000000,,,,,,,
