code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
27510,テンポスＨＤ,2024年4月期決算短信〔日本基準〕(連結),2024-06-12 16:00:00,"DurationPeriod(start_date=datetime.date(2022, 5, 1), end_date=datetime.date(2023, 4, 30))",True,37074000000,14336000000,2824000000,3069000000,1972000000,165.13,24218000000,13761000000,10570000000,,2600000000,-1328000000,-1069000000,0.148,0.141
35390,ＪＭホールディングス,2024年７月期 第３四半期決算短信〔日本基準〕（連結）,2024-06-12 16:00:00,"DurationPeriod(start_date=datetime.date(2022, 8, 1), end_date=datetime.date(2023, 4, 30))",True,129378000000,37055000000,7441000000,7599000000,3956000000,148.28,69864000000,42102000000,,,,,,,
60910,ウエスコＨＤ,2024年７月期　第３四半期決算短信〔日本基準〕（連結）,2024-06-12 16:00:00,"DurationPeriod(start_date=datetime.date(2022, 8, 1), end_date=datetime.date(2023, 4, 30))",True,11950305000,3129217000,775710000,964806000,618000000,41.97,20625000000,16297000000,,,,,,,
63090,巴工業,2024年10月期 第２四半期決算短信〔日本基準〕(連結),2024-06-12 16:00:00,"DurationPeriod(start_date=datetime.date(2022, 11, 1), end_date=datetime.date(2023, 4, 30))",True,26580326000,7351670000,2958210000,3007642000,2138000000,214.31,50905000000,38440000000,10780810000,,1912886000,-4014634000,-698478000,,
34580,シーアールイー,2024年７月期第３四半期 決算短信〔日本基準〕（連結）,2024-06-12 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 8, 1), end_date=datetime.date(2023, 4, 30))",True,30160000000,5443000000,1193000000,311000000,25000000,0.88,151878000000,37075000000,,,,,,,
39550,イムラ,2025年１月期 第1四半期決算短信〔日本基準〕（連結）,2024-06-12 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 2, 1), end_date=datetime.date(2023, 4, 30))",True,5187000000,1392000000,350000000,359000000,250000000,25,20901000000,16102000000,,,,,,,
34460,ＪＴＥＣＣＯＲＰ,通期連結業績予想の修正に関するお知らせ,2024-06-12 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 7, 1), end_date=datetime.date(2024, 6, 30))",True,1908000000,,306000000,364000000,238000000,40.58,,,,,,,,,
37600,ケイブ,配当予想の変更に関するお知らせ,2024-06-12 15:00:00,,True,,,,,,,,,,,,,,,
42310,タイガーポリ,（訂正・数値データ訂正）「2024年3月期決算短信〔日本基準〕（連結）」の一部訂正について,2024-06-12 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,47862934000,9855247000,3194238000,4286030000,3019000000,151.71,57293000000,39934000000,13930620000,,7707000000,-3618000000,-913000000,0.081,0.079
45990,Ｇ－ステムリム,2024年７月期　第３四半期決算短信〔日本基準〕（非連結）,2024-06-12 15:00:00,,True,,,-1552134000,-1552224000,,-24.8,9583000000,8081000000,,,,,,,
48240,Ｇ－メディアＳ,2024年7月期第3四半期決算短信〔日本基準〕（連結）,2024-06-12 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 8, 1), end_date=datetime.date(2023, 4, 30))",True,712719000,288992000,40468000,184367000,123000000,12.63,3979000000,3201000000,,,,,,,
48240,Ｇ－メディアＳ,決算期変更（事業年度末日）に伴う業績予想の修正及び配当予想の修正に関するお知らせ,2024-06-12 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 8, 1), end_date=datetime.date(2024, 6, 30))",True,870000000,,41000000,78000000,60000000,6.19,,,,,,,,,
50320,ＡＮＹＣＯＬＯＲ,2024年４月期 決算短信〔日本基準〕（非連結）,2024-06-12 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 5, 1), end_date=datetime.date(2024, 4, 30))",True,31995554000,15206623000,12361867000,12341610000,,139.63,25076000000,19716000000,16291344000,,6903000000,-658000000,-2437000000,0.529,0.567
70640,Ｇ－ハウテレビジョン,2025年1月期 第1四半期決算短信〔日本基準〕（連結）,2024-06-12 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 2, 1), end_date=datetime.date(2024, 4, 30))",True,362419000,285777000,-29753000,-30337000,-22000000,-16.51,2158000000,1048000000,,,,,,,
