code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
52770,スパンクリート,通期業績予想の修正に関するお知らせ,2024-01-18 17:30:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,2268000000,,-511000000,-504000000,-548000000,-73.62,,,,,,,,,
89660,Ｒ－平和ＲＥ,2023年11月期 決算短信(REIT),2024-01-18 15:50:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 11, 30))",True,8656000000,,4495679000,3995609000,,3474,240874000000,,16400286000,,6058000000,-9848000000,4354000000,,0.017
30910,ブロンコＢ,2023年12月期　決算短信〔日本基準〕（連結）,2024-01-18 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 1, 1), end_date=datetime.date(2023, 12, 31))",True,23377650000,15307825000,1644264000,1708795000,1003000000,67.5,22761000000,18561000000,6623588000,,2545000000,-1087000000,-626000000,0.054,0.077
86130,丸三証,2024年3月期第3四半期連結決算速報値に関するお知らせ,2024-01-18 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 12, 31))",True,,,266000000,706000000,530000000,8.07,,,,,,,,,
32830,Ｒ－プロロジ,2023年11月期決算短信（ＲＥＩＴ）,2024-01-18 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 11, 30))",True,30598000000,,13557719000,12278994000,,4325,881219000000,,33301128000,,23403000000,-51247000000,29993000000,,0.014
35650,アセンテック,2024年1月期（第16期）配当予想の修正（増配）に関するお知らせ,2024-01-18 15:00:00,,True,,,,,,,,,,,,,,,
62170,津田駒工,令和５年11月期決算短信[日本基準](連結),2024-01-18 15:00:00,"DurationPeriod(start_date=datetime.date(2021, 12, 1), end_date=datetime.date(2022, 11, 30))",True,39278000000,4933000000,-1216000000,-1295000000,-1246000000,-195.09,31334000000,1987000000,2544000000,,-1329000000,358000000,124000000,-0.495,-0.04
66340,ネクスＧ,2023年11月期　決算短信〔日本基準〕（連結）,2024-01-18 15:00:00,"DurationPeriod(start_date=datetime.date(2021, 12, 1), end_date=datetime.date(2022, 11, 30))",True,802066000,371214000,-211580000,-150048000,-657000000,-24.2,3080000000,2955000000,483728000,,-148000000,188000000,-66000000,-0.21,-0.045
70830,Ｇ－ＡＨＣグループ,2023年11月期 決算短信〔日本基準〕(連結),2024-01-18 15:00:00,"DurationPeriod(start_date=datetime.date(2021, 12, 1), end_date=datetime.date(2022, 11, 30))",True,5915131000,513584000,20441000,70606000,67000000,32.35,5246000000,1157000000,2047396000,,97000000,-94000000,-15000000,0.061,0.014
87060,極東証券,2024年3月期 第3四半期連結業績速報値に関するお知らせ,2024-01-18 11:30:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 12, 31))",True,,,-349000000,134000000,330000000,10.37,,,,,,,,,
