code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
27960,ファーマライズＨＤ,令和７年５月期 第１四半期決算短信〔日本基準〕（連結）,2024-09-25 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 8, 31))",True,15231000000,2138000000,52000000,23000000,-131000000,-11.68,27861000000,6795000000,,,,,,,
37100,ジョルダン,特別利益（子会社株式売却益）の計上及び通期業績予想の修正に関するお知らせ,2024-09-25 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 10, 1), end_date=datetime.date(2024, 9, 30))",True,3004000000,,0,67000000,-195000000,-38.4,,,,,,,,,
18710,ピーエス,業績予想の修正に関するお知らせ,2024-09-25 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,57669000000,,3310000000,3220000000,2151000000,46.29,,,,,,,,,
76240,ＮａＩＴＯ,令和7年2月期 第2四半期（中間期）決算短信〔日本基準〕（連結）,2024-09-25 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2023, 8, 31))",True,21486000000,2540000000,119000000,139000000,84000000,1.54,17618000000,12690000000,,,,,,,
86160,東海東京,2025年3月期 中間配当予想に関するお知らせ,2024-09-25 16:00:00,,True,,,,,,,,,,,,,,,
99760,セキチュー,2025年２月期第２四半期(中間期)決算短信〔日本基準〕(非連結),2024-09-25 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 2, 21), end_date=datetime.date(2024, 8, 20))",True,15319352000,4478380000,426572000,453227000,,65.32,21864000000,11298000000,879604000,,367459000,-1313740000,941724000,,
36080,ＴＳＩ　ＨＤ,2025年２月期第２四半期（累計）連結業績予想の修正に関するお知らせ,2024-09-25 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 3, 1), end_date=datetime.date(2024, 8, 31))",True,73278000000,,532000000,1608000000,1472000000,17.72,,,,,,,,,
68550,電子材料,2025年３月期通期連結業績予想及び剰余金の配当予想（期末配当）に関するお知らせ,2024-09-25 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,17461000000,,870000000,1007000000,,49.32,,,,,,,,,
89530,Ｒ－都市ファンド,2025年2月期（第46期）の運用状況及び分配金の予想の修正並びに2025年8月期（第47期）の運用状況及び分配金の予想に関するお知らせ,2024-09-25 15:20:00,,True,45740000000,,,,,2701,,,,,,,,,
26130,Ｊオイル,2025年３月期第２四半期連結累計期間及び通期連結業績予想の修正並びに2025年３月期配当予想の修正に関するお知らせ,2024-09-25 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,124670000000,,4939000000,5022000000,3424000000,103.54,,,,,,,,,
31600,大光,2025年5月期 第1四半期決算短信〔日本基準〕（連結）,2024-09-25 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 8, 31))",True,18228591000,3509528000,121449000,135683000,78000000,5.38,24900000000,6018000000,,,,,,,
44650,ニイタカ,2025年５月期 第１四半期決算短信〔日本基準〕（連結）,2024-09-25 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 8, 31))",True,5733240000,2113905000,426432000,440204000,296000000,50.24,22740000000,13619000000,,,,,,,
47160,日本オラクル,2025年5月期第1四半期決算短信〔日本基準〕(非連結),2024-09-25 15:00:00,,True,63915000000,30415000000,22194000000,22193000000,,119.99,262135000000,120654000000,,,,,,,
60820,ライドオンＥＸＨＤ,連結業績予想の修正及び中期経営計画の取り下げに関するお知らせ,2024-09-25 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,11051000000,,318000000,331000000,122000000,12.61,,,,,,,,,
60890,ウィルグループ,2025年３月期第２四半期（累計）連結業績予想の修正に関するお知らせ,2024-09-25 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,69276000000,,2019000000,,1402000000,61.84,,,,,,,,,
73370,ひろぎんＨＤ,業績予想の修正 及び 配当予想の修正（増配）に関するお知らせ,2024-09-25 11:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,,,,23927000000,16624000000,53.82,,,,,,,,,
87060,極東証券,2025年3月期の中間配当予定に関するお知らせ,2024-09-25 11:30:00,,True,,,,,,,,,,,,,,,
