code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
166A0,Ｇ－タスキＨＤ,株式会社タスキホールディングスの設立および連結業績予想並びに配当予想に関するお知らせ,2024-04-01 16:30:00,"DurationPeriod(start_date=datetime.date(2023, 10, 1), end_date=datetime.date(2024, 9, 30))",True,,,,,,,,,,,,,,,
39960,サインポスト,業績予想の修正に関するお知らせ,2024-04-01 16:00:00,,True,2574000000,,-110000000,-119000000,,-10.38,,,,,,,,,
85660,リコーリース,特別損失の計上及び通期連結業績予想の修正に関するお知らせ,2024-04-01 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,298889000000,,21228000000,21573000000,14872000000,482.48,,,,,,,,,
89610,Ｒ－森トラスト,（訂正・数値データ訂正）「2023年8月期 決算短信(REIT)」の一部訂正に関するお知らせ,2024-04-01 16:00:00,,True,11812000000,,7188000000,6535000000,,2010,473191000000,,,,13626000000,-29114000000,13952000000,,0.016
79650,象印マホービン,2024年11月期 第１四半期決算短信〔日本基準〕（連結）,2024-04-01 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 11, 21), end_date=datetime.date(2023, 2, 20))",True,28144000000,9388000000,3525000000,3951000000,2695000000,39.83,115027000000,85903000000,,,,,,,
87250,ＭＳ＆ＡＤ,2024年3月期（通期）の連結業績予想の修正に関するお知らせ,2024-04-01 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,,,,292262000000,211006000000,391.62,,,,,,,,,
17580,太洋基礎,(訂正・数値データ訂正)「2024年１月期決算短信[日本基準](非連結)」の 訂正に関するお知らせ,2024-04-01 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 2, 1), end_date=datetime.date(2024, 1, 31))",True,14571648000,1338988000,225316000,314108000,,107.96,11640000000,8888000000,3254721000,,858000000,-343000000,-497000000,0.024,0.026
26560,ベクターＨＤ,通期連結業績予想の修正及び特別損失の計上に関するお知らせ,2024-04-01 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,246000000,,-354000000,-362000000,-435000000,-31.01,,,,,,,,,
31860,ネクステージ,2024年11月期 第１四半期決算短信〔日本基準〕(連結),2024-04-01 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 12, 1), end_date=datetime.date(2023, 2, 28))",True,119457000000,21201000000,2215000000,2114000000,1458000000,18.23,206129000000,65543000000,,,,,,,
33330,あさひ,2024年2月期決算短信〔日本基準〕(非連結),2024-04-01 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 2, 21), end_date=datetime.date(2024, 2, 20))",True,78076416000,37305264000,4912078000,5192209000,,119.21,52553000000,36964000000,9501065000,,8581000000,-3054000000,-1323000000,0.087,0.101
43430,イオンファン,業績予想の修正に関するお知らせ,2024-04-01 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2024, 2, 29))",True,72690000000,,849000000,1318000000,-3376000000,-170.82,,,,,,,,,
49320,アルマード,配当予想の修正（特別配当）に関するお知らせ,2024-04-01 15:00:00,,True,,,,,,,,,,,,,,,
59420,日フイルコン,2024年11月期　第１四半期決算短信〔日本基準〕(連結),2024-04-01 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 12, 1), end_date=datetime.date(2023, 2, 28))",True,6924475000,2249615000,121114000,229130000,95000000,4.86,42741000000,22434000000,,,,,,,
63120,フロイント,通期連結業績予想の修正および特別損失の計上に関するお知らせ,2024-04-01 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2024, 2, 29))",True,19658000000,,451000000,559000000,-538000000,-32.15,,,,,,,,,
65600,ＬＴＳ,(訂正・数値データ訂正)「2023年12月期 決算短信[日本基準]（連結）」の一部訂正について,2024-04-01 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 1, 1), end_date=datetime.date(2022, 12, 31))",True,12242659000,4272952000,717171000,753555000,456000000,101.19,11887000000,3495000000,3840726000,,647000000,-3656000000,4072000000,0.136,0.086
82270,しまむら,2024年２月期　決算短信〔日本基準〕（連結）,2024-04-01 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 2, 21), end_date=datetime.date(2023, 2, 20))",True,635091000000,218561000000,55308000000,56716000000,40084000000,545.35,533807000000,471408000000,161235000000,,41162000000,-87198000000,-9944000000,0.088,0.109
90700,トナミＨＤ,2024年3月期通期連結業績予想の修正に関するお知らせ,2024-04-01 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,141920000000,,7381000000,8189000000,5391000000,594.99,,,,,,,,,
96910,両毛システム,特別損失の計上及び2024年３月期通期連結業績予想の修正に関するお知らせ,2024-04-01 08:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,17234000000,,1764000000,1775000000,1213000000,346.72,,,,,,,,,
