code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
39080,Ｇ－コラボス,業績予想の修正に関するお知らせ,2024-10-02 17:00:00,,True,1105000000,,-77000000,-58000000,,-9.21,,,,,,,,,
34980,霞ヶ関キャピタル,2024年８月期 決算短信〔日本基準〕（連結）,2024-10-02 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 9, 1), end_date=datetime.date(2023, 8, 31))",True,65685513000,18559936000,8537301000,7860025000,5020000000,541.68,77549000000,26851000000,11056990000,,-8446000000,-4809000000,18413000000,0.265,0.13
75450,西松屋チェ,2025年2月期 第2四半期（中間期）決算短信〔日本基準〕（非連結）,2024-10-02 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 2, 21), end_date=datetime.date(2024, 8, 20))",True,93515000000,32616000000,7024000000,7203000000,,79.08,146042000000,88422000000,66677000000,,6538000000,-1447000000,-1030000000,,
79750,リヒトラブ,2025年２月期第２四半期(中間期)及び通期連結業績予想の修正に関するお知らせ,2024-10-02 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 3, 1), end_date=datetime.date(2024, 8, 31))",True,4548000000,,-105000000,-55000000,-3000000,-1,,,,,,,,,
90240,西武ホールディングス,株式会社ＮＷコーポレーションの株式取得に伴う特別利益の計上および2025年３月期第２四半期（累計）・通期連結業績予想の修正に関するお知らせ,2024-10-02 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,238882000000,,31818000000,29130000000,27458000000,91.21,,,,,,,,,
27530,あみやき,2025年3月期第2四半期（中間期）決算短信〔日本基準〕（連結）,2024-10-02 09:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 9, 30))",True,17584000000,10876000000,1348000000,1383000000,819000000,39.9,27015000000,21372000000,,,,,,,
