code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
32960,Ｒ－日本リート,（数値データ訂正）「2024年12月期及び2025年6月期の運用状況及び分配金の予想の修正に関するお知らせ」における数値データ（XBRL）の一部訂正について,2024-09-26 18:00:00,,True,9859000000,,5499000000,4774000000,,,,,,,,,,,
34930,Ｒ－ＡＤＬ,（数値データ訂正）「2024年10月期の運用状況の予想の修正及び合併交付金の予想の修正に関するお知らせ」 における数値データ（XBRL）の一部訂正について,2024-09-26 18:00:00,,True,1238000000,,,,,928,,,,,,,,,
32960,Ｒ－日本リート,2024年12月期及び2025年6月期の運用状況及び分配金の予想の修正に関するお知らせ,2024-09-26 16:15:00,,True,9859000000,,5499000000,4774000000,,,,,,,,,,,
50780,セレコーポレーション,2025年２月期 第２四半期（中間期）業績予想の修正に関するお知らせ,2024-09-26 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 3, 1), end_date=datetime.date(2024, 8, 31))",True,12162000000,,956000000,974000000,655000000,189.16,,,,,,,,,
69370,古河電池,通期連結業績予想の修正並びに特別損失（製品保証費用）の計上に関するお知らせ,2024-09-26 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,75455000000,,3233000000,3417000000,2574000000,78.56,,,,,,,,,
69980,日タングス,業績予想の修正に関するお知らせ,2024-09-26 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,5669000000,,289000000,457000000,361000000,74.71,,,,,,,,,
34930,Ｒ－ＡＤＬ,2024年10月期の運用状況の予想の修正及び合併交付金の予想の修正に関するお知らせ,2024-09-26 15:30:00,,True,1208000000,,,,,928,,,,,,,,,
27920,ハニーズＨＬＤ,2025年５月期　第１四半期決算短信〔日本基準〕（連結）,2024-09-26 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 8, 31))",True,14308297000,8176664000,1233308000,1632046000,1081000000,38.8,51903000000,44119000000,,,,,,,
32900,Ｒ－Ｏｎｅリート,2025年2月期（第23期）の運用状況及び分配金の予想の修正に関するお知らせ,2024-09-26 15:00:00,,True,4973000000,,,,,,,,,,,,,,
67340,ニューテック,第２四半期累計期間連結業績予想の修正に関するお知らせ,2024-09-26 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 3, 1), end_date=datetime.date(2024, 8, 31))",True,1782000000,,204000000,212000000,158000000,82.79,,,,,,,,,
70680,Ｇ－ＦフォースＧ,2025年５月期 第１四半期決算短信〔日本基準〕（連結）,2024-09-26 15:00:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2023, 8, 31))",True,1052000000,728000000,351000000,340000000,196000000,7.73,6785000000,2693000000,,,,,,,
82170,オークワ,業績予想の修正に関するお知らせ,2024-09-26 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 2, 21), end_date=datetime.date(2024, 8, 20))",True,121520000000,,706000000,819000000,399000000,9.1,,,,,,,,,
83460,東邦銀,業績予想の修正に関するお知らせ,2024-09-26 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,,,,5083000000,3309000000,13.12,,,,,,,,,
83460,東邦銀,2025年3月期中間配当予想および期末配当予想の修正（増配）に関するお知らせ,2024-09-26 15:00:00,,True,,,,,,,,,,,,,,,
