code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
74630,アドヴァングループ,2025年3月第1四半期期決算短信〔日本基準〕（連結）,2024-07-05 18:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,4205579000,1649344000,466815000,7685222000,5079000000,142.51,79032000000,53546000000,2608614000,,-3317291000,69264000,-2037709000,,
99720,アルテック,2024年11月期 第２四半期決算短信〔日本基準〕（連結）,2024-07-05 16:30:00,"DurationPeriod(start_date=datetime.date(2022, 12, 1), end_date=datetime.date(2023, 5, 31))",True,9235518000,1666041000,-9687000,-1717000,-71000000,-5.22,23664000000,11621000000,,,,,,,
15180,三井松島ＨＤ,2025年３月期業績予想の修正に関するお知らせ,2024-07-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,77472000000,,25170000000,26004000000,15117000000,1209.24,,,,,,,,,
54630,丸一鋼管,業績予想の修正および配当予想の据え置きに関するお知らせ,2024-07-05 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 9, 30))",True,135173000000,,19268000000,21049000000,14098000000,177.02,,,,,,,,,
65060,安川電,2025年2月期 第1四半期決算短信〔ＩＦＲＳ〕（連結）,2024-07-05 16:00:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2023, 5, 31))",True,132408000000,46592000000,11118000000,,9199000000,35.19,726405000000,,49881000000,,,,,,
24590,アウン,営業外収益、営業外費用及び特別損失の計上並びに業績予想の修正に関するお知らせ,2024-07-05 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 6, 1), end_date=datetime.date(2024, 5, 31))",True,454000000,,-71000000,-78000000,-89000000,-11.87,,,,,,,,,
27340,サーラ,2024年11月期 第2四半期決算短信〔日本基準〕（連結）,2024-07-05 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 12, 1), end_date=datetime.date(2023, 5, 31))",True,118897000000,30074000000,4889000000,6127000000,4304000000,67.25,196239000000,81563000000,25276000000,,5650000000,-5990000000,3068000000,,
59000,ダイケン,2025年２月期　第１四半期決算短信〔日本基準〕（非連結）,2024-07-05 15:30:00,,True,2601700000,754836000,-2251000,3152000,,0.87,15803000000,13022000000,,,,,,,
76790,薬王堂ＨＤ,2025年２月期　第１四半期決算短信〔日本基準〕(連結),2024-07-05 15:30:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2023, 5, 31))",True,36625000000,7876000000,1403000000,1483000000,1027000000,52.46,73165000000,33827000000,,,,,,,
77300,マニー,2024年8月期 第3四半期決算短信[日本基準](連結),2024-07-05 15:30:00,"DurationPeriod(start_date=datetime.date(2022, 9, 1), end_date=datetime.date(2023, 5, 31))",True,21610000000,13608000000,6498000000,7125000000,5082000000,51.6,58083000000,52839000000,,,,,,,
