code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
53910,Ａ＆Ａマテリアル,(訂正・数値データ訂正)「2024年３月期決算短信〔日本基準〕(連結)」の一部訂正について,2024-05-21 18:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,41282000000,9284000000,2318000000,2403000000,2699000000,352.48,39952000000,18932000000,2570000000,,3065000000,515000000,-3061000000,0.152,0.062
78640,フジシール,(訂正・数値データ訂正)「2024年３月期 決算短信〔日本基準〕（連結）」の一部訂正について,2024-05-21 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,196624000000,35855000000,13309000000,14732000000,10277000000,,192684000000,114024000000,22788000000,,19930000000,-10568000000,-4338000000,,
84730,ＳＢＩ,（訂正・数値データ訂正）2024 年３月期 決算短信〔ＩＦＲＳ〕（連結）の一部訂正に関するお知らせ,2024-05-21 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,1210504000000,,,,87243000000,316.43,27139391000000,,4580335000000,,1345740000000,-65116000000,29172000000,0.077,0.006
31980,ＳＦＰＨＤ,（訂正・数値データ訂正）「2024年２月期 決算短信〔日本基準〕（連結）」の一部訂正について,2024-05-21 16:30:00,"DurationPeriod(start_date=datetime.date(2023, 3, 1), end_date=datetime.date(2024, 2, 29))",True,29079000000,,2026000000,2236000000,1731000000,71,13303000000,7744000000,,,2194000000,-848000000,-6043000000,0.171,0.145
35130,イチカワ,(訂正・数値データ訂正)「2024年3月期　決算短信〔日本基準〕（連結）」の一部訂正について,2024-05-21 15:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,13603000000,5936000000,1115000000,1168000000,1018000000,227.76,29242000000,21350000000,6690000000,,1992000000,-520000000,-672000000,0.05,0.042
44500,Ｇ－ＰＳＯＬ,2024年12月期中間配当予定に関するお知らせ,2024-05-21 15:00:00,,True,,,,,,,,,,,,,,,
65840,三桜工,剰余金の配当及び配当予想の修正に関するお知らせ,2024-05-21 15:00:00,,True,,,,,,,,,,,,,,,
63580,酒井重,株式分割及び株式分割に伴う定款の一部変更並びに配当予想の修正に関するお知らせ,2024-05-21 11:15:00,,True,,,,,,,,,,,,,,,
90370,ハマキョウ,（訂正・数値データ訂正）「2024年3月期決算短信〔日本基準〕（連結）」の一部訂正に関するお知らせ,2024-05-21 08:40:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,140572000000,,12569000000,13136000000,8305000000,442.57,154892000000,83936000000,,,15883000000,-8305000000,-6497000000,0.103,0.088
