code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
27430,ピクセル,2024年12月期　第2四半期（中間期）決算短信〔日本基準〕（連結）,2024-11-12 20:00:00,"DurationPeriod(start_date=datetime.date(2023, 1, 1), end_date=datetime.date(2023, 6, 30))",True,352992000,128116000,-313259000,-306477000,-1468000000,-17.59,1487000000,550000000,903060000,,-280954000,-704174000,1710318000,,
27430,ピクセル,（訂正・数値データ訂正）「2024年12月期 第1四半期決算短信［日本基準］（連結）」 の一部訂正について,2024-11-12 20:00:00,"DurationPeriod(start_date=datetime.date(2023, 1, 1), end_date=datetime.date(2023, 3, 31))",True,232364000,104753000,-88679000,-87174000,-237000000,-3.04,1192000000,562000000,,,,,,,
27430,ピクセル,（訂正・数値データ訂正）「2023年12月期 決算短信［日本基準］（連結）」の一部訂正について,2024-11-12 20:00:00,"DurationPeriod(start_date=datetime.date(2022, 1, 1), end_date=datetime.date(2022, 12, 31))",True,609422000,131307000,-474092000,-500361000,-786000000,-12.3,538000000,412000000,177804000,,-517000000,-237000000,878000000,-7.185,-0.972
47770,ガーラ,2024年12月期 第２四半期(中間期)決算短信〔日本基準〕(連結),2024-11-12 18:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 9, 30))",True,1202689000,768389000,-102054000,-31424000,-146000000,-5.67,3972000000,1782000000,1138095000,,-133182000,-220129000,528756000,,
47770,ガーラ,2024年12月期 第３四半期決算短信〔日本基準〕（連結）,2024-11-12 18:00:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 9, 30))",True,1791909000,1138592000,-205392000,-172370000,-281000000,-10.61,3746000000,1593000000,,,,,,,
39650,ＣＡＰ,2024年９月期　決算短信〔日本基準〕（連結）,2024-11-12 17:30:00,"DurationPeriod(start_date=datetime.date(2022, 10, 1), end_date=datetime.date(2023, 9, 30))",True,8178887000,1727858000,297347000,308986000,156000000,27.35,5660000000,3218000000,1415878000,,-283000000,-178000000,11000000,0.05,0.055
36860,ＤＬＥ,2025年３月期 第２四半期（中間期）決算短信〔日本基準〕（連結）,2024-11-12 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 9, 30))",True,891025000,267176000,-322627000,-329534000,-326000000,-7.67,3219000000,2368000000,,,,,,,
36860,ＤＬＥ,（訂正・数値データ訂正）「2025年３月期　第１四半期決算短信〔日本基準〕（連結）」の一部訂正について,2024-11-12 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,461782000,126759000,-192536000,-194826000,-194000000,-5.3,3592000000,2651000000,,,,,,,
36860,ＤＬＥ,（訂正・数値データ訂正）「2024年３月期　決算短信〔日本基準〕（連結）」 の一部訂正について,2024-11-12 17:00:00,"DurationPeriod(start_date=datetime.date(2022, 4, 1), end_date=datetime.date(2023, 3, 31))",True,1705511000,493610000,-658517000,-659977000,-562000000,-13.22,3617000000,2796000000,1007373000,,-439000000,26000000,-11000000,-0.206,-0.194
49550,アグロカネショウ,2024年12月期第3四半期（中間期）決算短信〔日本基準〕(連結),2024-11-12 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 1, 1), end_date=datetime.date(2023, 9, 30))",True,11757927000,4595150000,1169212000,1151030000,723000000,60.43,27379000000,19925000000,,,,,,,
65130,オリジン,2025年３月期 第２四半期（中間期）決算短信〔日本基準〕（連結）,2024-11-12 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 9, 30))",True,14038000000,3454000000,69000000,207000000,-77000000,-14.16,45214000000,23659000000,,,,,,,
65710,キュービーネットＨＤ,2025年６月期 第１四半期決算短信〔ＩＦＲＳ〕（連結）,2024-11-12 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 7, 1), end_date=datetime.date(2023, 9, 30))",True,6370000000,1517000000,542000000,,344000000,26.28,32435000000,,5512000000,,985000000,-276000000,295000000,,
70870,ウイルテック,2025年３月期 第２四半期（中間期）決算短信〔日本基準〕（連結）,2024-11-12 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 9, 30))",True,21602000000,3896000000,238000000,359000000,183000000,28.66,17320000000,7675000000,3505000000,,-200000000,-503000000,-17000000,,
96440,タナベコンサルＧ,2025年3月期　第2四半期（中間期）決算短信〔日本基準〕（連結）,2024-11-12 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 9, 30))",True,6664191000,3183199000,796432000,864621000,507000000,30.59,14472000000,10679000000,7239214000,,682056000,1700491000,-782239000,,
93630,大運,業績予想の修正に関するお知らせ,2024-11-12 16:45:00,,True,4028000000,,113000000,145000000,,39.75,,,,,,,,,
24540,オールアバウト,2025年３月期 第２四半期(中間期)決算短信〔日本基準〕(連結),2024-11-12 16:30:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 9, 30))",True,7451889000,4461698000,-199946000,-199229000,-157000000,-11.33,7723000000,3928000000,1618942000,,-6362000,-207723000,-41682000,,
