code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
30830,スターシーズ,2026年２月期 決算短信〔日本基準〕（連結）,2026-04-17 22:15:00,"DurationPeriod(start_date=datetime.date(2024, 3, 1), end_date=datetime.date(2025, 2, 28))",True,10017276000,3504123000,199722000,175949000,63000000,15.27,6387000000,2744000000,1832352000,,-204000000,-567000000,2322000000,,
60850,Ｇ－アーキテクツＳＪ,2026年２月期決算短信〔日本基準〕（連結）,2026-04-17 18:50:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,658989000,339201000,-559032000,-550658000,-600000000,-53.18,411000000,-223000000,89552000,,-656000000,515000000,109000000,,-0.433
70500,Ｇ－フロンティアＩ,通期連結業績予想の修正（再上方修正）及び配当予想の修正（増配） に関するお知らせ,2026-04-17 18:15:00,"DurationPeriod(start_date=datetime.date(2025, 5, 1), end_date=datetime.date(2026, 4, 30))",True,20335000000,,1277000000,1267000000,876000000,98.44,,,,,,,,,
87070,岩井コスモ,2026年3月期 連結決算速報値に関するお知らせ,2026-04-17 16:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,25750000000,,8648000000,9150000000,6725000000,286.34,,,,,,,,,
99500,ハチバン,2026年３月期通期連結業績予想の修正に関するお知らせ,2026-04-17 16:30:00,"DurationPeriod(start_date=datetime.date(2025, 3, 21), end_date=datetime.date(2026, 3, 20))",True,8233000000,,264000000,463000000,236000000,80.49,,,,,,,,,
22810,プリマハム,2026年３月期業績予想の修正に関するお知らせ,2026-04-17 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,458354000000,,8948000000,10502000000,7076000000,140.79,,,,,,,,,
24110,ゲンダイＡＧ,2026年３月期 決算短信〔日本基準〕（連結）,2026-04-17 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,7531000000,2702000000,674000000,680000000,473000000,42.24,5409000000,3891000000,3220000000,,673000000,-273000000,-868000000,0.117,0.122
34620,Ｒ－ＮＭＦ,2026年2月期　決算短信（REIT）,2026-04-17 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 9, 1), end_date=datetime.date(2026, 2, 28))",True,41186000000,,15858337000,13355894000,,2874,1179913000000,,55016761000,,21866000000,-1588000000,-16455000000,,0.011
34880,Ｒ－セントラル,2026年2月期 決算短信（ＲＥＩＴ）,2026-04-17 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 9, 1), end_date=datetime.date(2026, 2, 28))",True,2156000000,,936146000,809259000,,3238,48956000000,,3900044000,,879000000,-18000000,-805000000,,0.017
49290,アジュバンＨＤ,2026年３月期 決算短信〔日本基準〕（連結）,2026-04-17 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 3, 21), end_date=datetime.date(2025, 3, 20))",True,3813665000,2563069000,170715000,200539000,142000000,17.86,5148000000,4218000000,2134085000,,132000000,-119000000,-105000000,0.034,0.038
52870,イトーヨーギョー,配当予想の修正に関するお知らせ,2026-04-17 15:30:00,,True,,,,,,,,,,,,,,,
62480,横田製作所,業績予想及び配当予想の修正に関するお知らせ,2026-04-17 15:30:00,,True,2276000000,,455000000,461000000,,172.21,,,,,,,,,
71750,今村証券,2026年３月期 決算速報値に関するお知らせ,2026-04-17 15:30:00,,True,,,986000000,1018000000,,,,,,,,,,,
72710,安永,繰延税金資産の計上および業績予想の修正に関するお知らせ,2026-04-17 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,31470000000,,758000000,939000000,742000000,72.04,,,,,,,,,
72710,安永,配当予想の修正（増配）に関するお知らせ,2026-04-17 15:30:00,,True,,,,,,,,,,,,,,,
86240,いちよし,2026年３月期　連結決算速報値に関するお知らせ,2026-04-17 12:00:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,,,2285000000,2406000000,1564000000,47.11,,,,,,,,,
