code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
202A0,Ｇ－豆蔵,2026年３月期の期末配当予想の修正（無配）に関するお知らせ,2026-01-23 23:30:00,,True,,,,,,,,,,,,,,,
21600,Ｇ－ＧＮＩ,通期業績予想の修正及び損失計上（見込み）に関するお知らせ,2026-01-23 18:00:00,"DurationPeriod(start_date=datetime.date(2025, 1, 1), end_date=datetime.date(2025, 12, 31))",True,23611000000,,1402000000,,1098000000,21.96,,,,,,,,,
87070,岩井コスモ,2026年3月期第3四半期 連結決算速報値に関するお知らせ,2026-01-23 16:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2025, 12, 31))",True,19684000000,,6799000000,7270000000,5033000000,214.28,,,,,,,,,
93050,ヤマタネ,2026年３月期配当予想の修正に関するお知らせ,2026-01-23 16:30:00,,True,,,,,,,,,,,,,,,
39680,セグエ,2025年12月期の連結業績予想の修正(上方修正) および 中期経営計画(2026年12月期)の数値目標変更（上方修正）に関するお知らせ,2026-01-23 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 1, 1), end_date=datetime.date(2025, 12, 31))",True,18717000000,,720000000,1060000000,507000000,15.73,,,,,,,,,
55760,オービーシステム,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,2026-01-23 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,6161307000,1165139000,415113000,461785000,378000000,163.72,7442000000,5577000000,,,,,,,
66290,テクノホライゾン,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,2026-01-23 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,34825217000,8319346000,1261418000,1536764000,856000000,63.53,34957000000,10192000000,,,,,,,
79620,キングジム,業績予想の修正に関するお知らせ,2026-01-23 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 6, 21), end_date=datetime.date(2025, 12, 20))",True,18520000000,,18000000,180000000,-75000000,-2.67,,,,,,,,,
81250,ワキタ,業績予想に関するお知らせ,2026-01-23 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 3, 1), end_date=datetime.date(2026, 2, 28))",True,92321000000,,6390000000,6506000000,3912000000,79.27,,,,,,,,,
97650,オオバ,(訂正・数値データ訂正)「2026年5月期 第2四半期決算短信〔日本基準〕（連結）」  の一部訂正について,2026-01-23 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 6, 1), end_date=datetime.date(2025, 11, 30))",True,7380000000,,814000000,910000000,616000000,38.72,20968000000,13098000000,,,,,,,
51870,クリエート,配当予想の修正に関するお知らせ,2026-01-23 15:40:00,,True,,,,,,,,,,,,,,,
24110,ゲンダイＡＧ,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,2026-01-23 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,5822000000,2064000000,566000000,568000000,372000000,32.99,5271000000,3792000000,,,,,,,
33200,クロスプラス,2026年１月期通期連結業績予想及び 配当予想の修正（増配）に関するお知らせ,2026-01-23 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 2, 1), end_date=datetime.date(2026, 1, 31))",True,62004000000,,1029000000,1275000000,,174.53,,,,,,,,,
446A0,Ｇ－ノースサンド,通期業績予想の修正に関するお知らせ,2026-01-23 15:30:00,,True,16417000000,,2774000000,2798000000,,28.61,,,,,,,,,
48400,トライアイズ,2025年12月期通期業績予想の修正に関するお知らせ,2026-01-23 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 1, 1), end_date=datetime.date(2025, 12, 31))",True,961000000,,2000000,250000000,194000000,24.95,,,,,,,,,
48400,トライアイズ,2025年12月期個別業績予想の修正に関するお知らせ,2026-01-23 15:30:00,,True,491000000,,,100000000,,10.25,,,,,,,,,
48810,Ｇ－ファンペップ,特別損失の計上及び業績予想の公表に関するお知らせ,2026-01-23 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 1, 1), end_date=datetime.date(2025, 12, 31))",True,6000000,,-901000000,-896000000,-889000000,-31.98,,,,,,,,,
56090,日鋳造,2026年３月期　第３四半期決算短信〔日本基準〕(非連結),2026-01-23 15:30:00,,True,8982000000,1158000000,34000000,211000000,,37.77,21651000000,11712000000,,,,,,,
68660,日置電,2025年12月期 決算短信〔日本基準〕（連結）,2026-01-23 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 12, 31))",True,40531817000,20411372000,6791605000,7106664000,5457000000,403.18,51492000000,43956000000,16723235000,,7521000000,-4726000000,-2706000000,0.13,0.143
71750,今村証券,2026年３月期 第３四半期決算速報値に関するお知らせ,2026-01-23 15:30:00,,True,,,820000000,850000000,,,,,,,,,,,
89770,Ｒ－阪急阪神,2025年11月期　決算短信(REIT),2026-01-23 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 6, 1), end_date=datetime.date(2025, 11, 30))",True,6504000000,,2766650000,2360192000,,3392,183177000000,,11135691000,,7103000000,-3824000000,-2321000000,,0.013
90290,ヒガシＨＤ,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,2026-01-23 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,42473923000,8121958000,3092468000,3191197000,2057000000,157.61,33941000000,15349000000,,,,,,,
28040,ブルドックソース,2026年３月期第３四半期決算短信〔日本基準〕(連結),2026-01-23 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,11233000000,3617000000,515000000,1164000000,2318000000,179.72,38009000000,25449000000,,,,,,,
93530,桜島埠頭,2026年3月期 第3四半期決算短信〔日本基準〕（連結）,2026-01-23 15:00:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2024, 12, 31))",True,3208625000,681433000,246927000,401890000,323000000,212.7,12072000000,8011000000,,,,,,,
54230,東製鉄,2026年3月期 第3四半期決算短信(日本基準)(非連結),2026-01-23 14:00:00,,True,201846000000,26778000000,8175000000,9536000000,,91.5,303835000000,218695000000,,,,,,,
97010,東京会館,2026年3月期 第3四半期決算短信〔日本基準〕(非連結),2026-01-23 14:00:00,,True,12131974000,1830130000,1094477000,1148220000,,229.42,29569000000,12678000000,,,,,,,
