code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
24790,ジェイテック,2026年3月期通期連結業績予想および配当予想の修正に関するお知らせ,2026-03-13 17:00:00,,True,3393000000,,329000000,330000000,,28.52,,,,,,,,,
34210,稲葉製作,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕（連結）,2026-03-13 17:00:00,"DurationPeriod(start_date=datetime.date(2024, 8, 1), end_date=datetime.date(2025, 1, 31))",True,19744510000,4789752000,637782000,831463000,621000000,39.14,58667000000,44334000000,15347267000,,559819000,-1012930000,-336969000,,
44310,Ｇ－スマレジ,2026年４月期第３四半期決算短信〔日本基準〕(連結),2026-03-13 17:00:00,"DurationPeriod(start_date=datetime.date(2024, 5, 1), end_date=datetime.date(2025, 1, 31))",True,9615333000,6356507000,2229072000,2238899000,1530000000,79.48,12877000000,8914000000,,,,,,,
26940,焼肉坂井ＨＤ,2026年３月期配当予想の決定に関するお知らせ,2026-03-13 16:30:00,,True,,,,,,,,,,,,,,,
31610,アゼアス,2026年4月期第3四半期決算短信〔日本基準〕（連結）,2026-03-13 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 5, 1), end_date=datetime.date(2025, 1, 31))",True,5882584000,1241996000,108412000,123979000,75000000,13.22,8444000000,6756000000,,,,,,,
66590,メディアリンクス,2026年３月期　連結業績予想の修正に関するお知らせ,2026-03-13 16:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,2790000000,,-523000000,-523000000,-562000000,-12.06,,,,,,,,,
92540,Ｇ－ラバブルマーケ,2026年３月期 第１四半期決算短信〔日本基準〕(連結),2026-03-13 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 11, 1), end_date=datetime.date(2025, 1, 31))",True,688955000,320165000,15337000,17958000,9000000,5.94,2483000000,921000000,,,,,,,
186A0,Ｇ－アストロスケール,2026年4月期 第3四半期決算短信〔IFRS〕(連結),2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 5, 1), end_date=datetime.date(2025, 1, 31))",True,4415977000,60769000,-7137000000,,-5017000000,-37.41,32704000000,,13929097000,,-9945301000,-5339708000,7218032000,,
29840,ヤマイチ,2026年3月期業績予想の修正に関するお知らせ,2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,20909000000,,1753000000,1216000000,682000000,80.52,,,,,,,,,
323A0,Ｇ－フライヤー,2026年2月期通期業績予想の修正に関するお知らせ,2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 3, 1), end_date=datetime.date(2026, 2, 28))",True,,,,,,,,,,,,,,,
34410,山王,2026年7月期　第２四半期（中間期）決算短信〔日本基準〕（連結）,2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 8, 1), end_date=datetime.date(2025, 1, 31))",True,6747128000,1734778000,1016686000,1013713000,900000000,207.75,14002000000,7843000000,2593562000,,-222310000,-429020000,229763000,,
35240,日東網,2026年４月期　第３四半期決算短信〔日本基準〕（連結）,2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 5, 1), end_date=datetime.date(2025, 1, 31))",True,15120933000,2717816000,146895000,376432000,213000000,82.45,31182000000,7499000000,,,,,,,
39310,Ｇ－バリューゴルフ,2026年１月期 決算短信〔日本基準〕（連結）,2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 2, 1), end_date=datetime.date(2025, 1, 31))",True,4426721000,1551624000,53131000,39213000,-19000000,-10.78,3171000000,1059000000,718136000,,-471000000,-79000000,420000000,-0.018,0.013
43780,Ｇ－ＣＩＮＣ,2026年10月期第１四半期決算短信〔日本基準〕（連結）,2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 11, 1), end_date=datetime.date(2025, 1, 31))",True,392666000,243795000,-2440000,-1213000,-4000000,-1.43,1347000000,1056000000,,,,,,,
50790,ノバック,2026年４月期 第３四半期決算短信 〔日本基準〕（連結）,2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 5, 1), end_date=datetime.date(2026, 1, 31))",True,25858982000,2289545000,949890000,939337000,622000000,120.85,33186000000,18209000000,,,,,,,
68370,京写,繰延税金資産の取り崩しおよび2026年３月期通期連結業績予想の修正に関するお知らせ,2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,26229000000,,1277000000,992000000,,42.37,,,,,,,,,
70500,Ｇ－フロンティアＩ,2026年４月期 第３四半期決算短信〔日本基準〕（連結）,2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 5, 1), end_date=datetime.date(2025, 1, 31))",True,22934366000,4346124000,1920313000,1923079000,993000000,111.6,16256000000,9454000000,,,,,,,
76740,Ｇ－ＮＡＴＴＹＨＤ,2026年１月期 決算短信〔日本基準〕(連結),2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 2, 1), end_date=datetime.date(2025, 1, 31))",True,7683476000,5178918000,-503148000,-516202000,-930000000,-380.11,3163000000,1316000000,650715000,,2000000,-169000000,-338000000,-0.519,-0.142
78500,総合商研,令和８年７月期第２四半期（中間期）決算短信〔日本基準〕(連結),2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2024, 8, 1), end_date=datetime.date(2025, 1, 31))",True,10872639000,3689938000,937309000,1010619000,696000000,232.34,10382000000,3842000000,1759559000,,393320000,-260086000,327525000,,
92620,シルバーライフ,2026年７月期　第２四半期（中間期）決算短信〔日本基準〕（非連結）,2026-03-13 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 8, 1), end_date=datetime.date(2026, 1, 31))",True,8071613000,2820377000,583282000,673114000,,37.75,10578000000,7209000000,1563564000,,762449000,-453316000,-344441000,,
94250,ＲｅＹｕｕＪａｐａｎ,2026年10月期 第１四半期決算短信〔日本基準〕（非連結）,2026-03-13 16:00:00,,True,2532445000,107887000,-38504000,-57632000,,-8.65,2295000000,1345000000,,,,,,,
218A0,Ｇ－リベラウェア,2026年７月期 第２四半期（中間期）決算短信〔日本基準〕(連結),2026-03-13 15:45:00,"DurationPeriod(start_date=datetime.date(2025, 8, 1), end_date=datetime.date(2026, 1, 31))",True,697213000,322776000,-942653000,-515629000,-516000000,-27.29,1385000000,451000000,532027000,,-327670000,-13855000,118775000,,
34440,菊池製作所,2026年４月期 第３四半期決算短信〔日本基準〕(連結),2026-03-13 15:45:00,"DurationPeriod(start_date=datetime.date(2024, 5, 1), end_date=datetime.date(2025, 1, 31))",True,4362580000,891627000,-420840000,-203970000,-4000000,-0.36,8648000000,5369000000,,,,,,,
43340,ユークス,2026年1月期決算短信〔日本基準〕（連結）,2026-03-13 15:45:00,"DurationPeriod(start_date=datetime.date(2024, 2, 1), end_date=datetime.date(2025, 1, 31))",True,4288913000,1182527000,181167000,184484000,176000000,20.99,4044000000,2549000000,1263636000,,145000000,-960000000,390000000,0.071,0.051
22860,林兼産,連結業績予想の修正ならびに配当予想の修正（増配）に関するお知らせ,2026-03-13 15:40:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,49267000000,,1076000000,1363000000,1055000000,123.42,,,,,,,,,
168A0,Ｇ－イタミアート,2026年１月期 決算短信〔日本基準〕（連結）,2026-03-13 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 2, 1), end_date=datetime.date(2026, 1, 31))",True,4761203000,1713697000,216602000,224435000,151000000,102.97,5061000000,1327000000,502737000,,566000000,-969000000,404000000,0.114,0.044
17580,太洋基礎,2026年１月期　決算短信〔日本基準〕(非連結),2026-03-13 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 2, 1), end_date=datetime.date(2026, 1, 31))",True,14511488000,1427821000,551290000,616139000,,232.19,12444000000,9497000000,3619902000,,898000000,-159000000,-89000000,0.05,0.051
17660,東建コーポ,2026年４月期　第３四半期決算短信〔日本基準〕（連結）,2026-03-13 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 5, 1), end_date=datetime.date(2025, 1, 31))",True,282750000000,47395000000,16196000000,16505000000,11968000000,890.28,229429000000,141296000000,,,,,,,
18400,土屋ＨＤ,2026年10月期　第１四半期決算短信〔日本基準〕（連結）,2026-03-13 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 11, 1), end_date=datetime.date(2025, 1, 31))",True,6514405000,1261600000,-753377000,-738731000,-575000000,-22.34,28265000000,12396000000,,,,,,,
212A0,フィットイージー,2026年10月期　第１四半期決算短信〔日本基準〕（非連結）,2026-03-13 15:30:00,,True,3114283000,1089769000,720082000,725964000,,29.89,9685000000,5960000000,,,,,,,
22170,モロゾフ,2026年１月期 決算短信〔日本基準〕（連結）,2026-03-13 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 2, 1), end_date=datetime.date(2025, 1, 31))",True,36273371000,17523175000,1264948000,1286269000,642000000,31.85,28163000000,19873000000,2109585000,,399000000,-2153000000,276000000,0.033,0.048
