code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
21300,メンバーズ,連結決算（IFRS）への移行に伴う連結業績予想の公表に関するお知らせ,2026-01-22 17:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,,,,,,,,,,,,,,,
87000,丸八証券,2026年３月期 第３四半期決算速報値に関するお知らせ,2026-01-22 17:00:00,,True,,,356000000,484000000,,,,,,,,,,,
48920,Ｇ－サイフューズ,2025年12月期業績予想の修正に関するお知らせ,2026-01-22 16:00:00,,True,54000000,,-896000000,-869000000,,-108.34,,,,,,,,,
63270,北川精機,2026年6月期第2四半期（中間期） 連結業績予想及び通期連結業績予想の修正に関するお知らせ,2026-01-22 15:35:00,"DurationPeriod(start_date=datetime.date(2025, 7, 1), end_date=datetime.date(2025, 12, 31))",True,2913000000,,427000000,416000000,285000000,35.16,,,,,,,,,
37530,フライト,業績予想の修正に関するお知らせ,2026-01-22 15:30:00,,True,3063000000,,-298000000,-333000000,,-38.61,,,,,,,,,
39970,トレードワークス,特別損失の計上及び通期業績予想の修正並びに役員報酬の一部返納に関するお知らせ,2026-01-22 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 1, 1), end_date=datetime.date(2025, 12, 31))",True,4591000000,,-55000000,-53000000,-151000000,-45.04,,,,,,,,,
87080,アイザワ証Ｇ,2026年３月期第３四半期 連結決算速報値に関するお知らせ,2026-01-22 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2025, 12, 31))",True,,,1315000000,1841000000,2760000000,86.64,,,,,,,,,
89760,Ｒ－大和ＯＦ,2025年11月期 決算短信（ＲＥＩＴ）,2026-01-22 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 6, 1), end_date=datetime.date(2025, 11, 30))",True,16056000000,,8593566000,7497742000,,7996,488321000000,,33035984000,,12325000000,-4904000000,-11025000000,,0.015
89850,Ｒ－ＪＨＲ,2025年12月期（第26期）の運用状況及び分配金の予想の修正並びに2026年12月期（第27期）の運用状況及び分配金の予想に関するお知らせ,2026-01-22 15:30:00,,True,45564000000,,20779000000,18273000000,,5324,,,,,,,,,
92670,ゲンキードラッグ,業績予想の修正に関するお知らせ,2026-01-22 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 6, 21), end_date=datetime.date(2025, 12, 20))",True,98758000000,,4596000000,4722000000,3268000000,107.55,,,,,,,,,
27210,ＪＨＤ,業績予想の修正に関するお知らせ,2026-01-22 15:00:00,"DurationPeriod(start_date=datetime.date(2025, 1, 1), end_date=datetime.date(2025, 12, 31))",True,179000000,,-267000000,-271000000,-387000000,-55.38,,,,,,,,,
86170,光世証,2026年３月期　第３四半期決算短信〔日本基準〕（非連結）,2026-01-22 14:00:00,,True,762000000,,-30000000,147000000,,13.48,22339000000,16027000000,,,,,,,
86240,いちよし,2026年３月期第３四半期　連結決算速報値に関するお知らせ,2026-01-22 12:00:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2025, 12, 31))",True,,,2036000000,2120000000,1395000000,41.52,,,,,,,,,
86220,水戸証,2026 年３月期第３四半期決算速報値に関するお知らせ,2026-01-22 11:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2025, 12, 31))",True,,,1675000000,2105000000,,,,,,,,,,,
