code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
14470,Ｇ－ＳＡＡＦＨＤ,（数値データ訂正）「通期業績予想の修正および特別損失の計上に関するお知らせ」における数値データ（XBRL）の修正について,2026-04-28 17:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,28855000000,,333000000,142000000,-129000000,-5.28,,,,,,,,,
33740,内外テック,業績予想の修正および配当予想の修正に関するお知らせ,2026-04-28 17:15:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,35337000000,,1552000000,1525000000,1049000000,299.93,,,,,,,,,
21620,ｎｍｓ　ＨＤ,（訂正・数値データ訂正）「2025年３月期　決算短信〔日本基準〕（連結）」 の一部訂正のお知らせ,2026-04-28 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2024, 3, 31))",True,75707594000,10132526000,1771222000,1771671000,779000000,49.17,36228000000,4550000000,3779982000,,1371000000,-899000000,-1252000000,0.222,0.049
21620,ｎｍｓ　ＨＤ,（訂正・数値データ訂正）「2025年３月期　第３四半期決算短信〔日本基準〕（連結）」 の一部訂正のお知らせ,2026-04-28 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 12, 31))",True,56295103000,7386397000,1066511000,484733000,-150000000,-9.68,36334000000,2304000000,,,,,,,
21620,ｎｍｓ　ＨＤ,（訂正・数値データ訂正）「2025年３月期　第１四半期決算短信〔日本基準〕（連結）」 の一部訂正のお知らせ,2026-04-28 17:00:00,"DurationPeriod(start_date=datetime.date(2023, 4, 1), end_date=datetime.date(2023, 6, 30))",True,17508219000,2435734000,400443000,764712000,562000000,36.19,36552000000,2711000000,,,,,,,
59030,ＳＨＩＮＰＯ,2026年６月期　第３四半期決算短信　[日本基準]（連結）,2026-04-28 16:45:00,"DurationPeriod(start_date=datetime.date(2024, 7, 1), end_date=datetime.date(2025, 3, 31))",True,5166372000,1822332000,556627000,563164000,381000000,69.32,8842000000,7133000000,,,,,,,
68460,中央製,2026年3月期通期業績予想及び配当予想の修正に関するお知らせ,2026-04-28 16:45:00,,True,4889000000,,235000000,245000000,,286.28,,,,,,,,,
18500,南海辰村建設,2026年３月期　決算短信〔日本基準〕（連結）,2026-04-28 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,45797000000,5195000000,2842000000,2856000000,2093000000,72.61,35079000000,19703000000,6688000000,,8447000000,-305000000,-5384000000,0.113,0.073
43620,日本精化,2026年３月期 決算短信〔日本基準〕（連結）,2026-04-28 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,33796367000,11134620000,5341571000,5570734000,4428000000,202.38,65421000000,51381000000,13341279000,,6814000000,-2227000000,-4001000000,0.089,0.089
52790,日本興業,2026年3月期　決算短信[日本基準]（連結）,2026-04-28 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 4, 1), end_date=datetime.date(2025, 3, 31))",True,16321050000,3613325000,790687000,822900000,577000000,198.48,17205000000,8623000000,1421900000,,340000000,-753000000,367000000,0.07,0.049
