code,company_name,title,pubdate,fiscal_period,consolidated,revenue,gross_profit,operating_income,ordinary_income,net_income_parent,eps,total_assets,shareholders_equity,cash_and_equivalents,interest_bearing_debt,operating_cf,investing_cf,financing_cf,roe,roa
21830,リニカル,業績予想及び配当予想の修正並びに取締役等の報酬の減額に関するお知らせ,2026-03-18 17:00:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,10437000000,,-583000000,-498000000,-539000000,-23.87,,,,,,,,,
42870,ジャストプラ,(訂正・数値データ訂正)「2026年１月期 決算短信〔日本基準〕（連結）」の一部訂正について,2026-03-18 16:30:00,"DurationPeriod(start_date=datetime.date(2024, 2, 1), end_date=datetime.date(2025, 1, 31))",True,2533784000,1257777000,607190000,616456000,508000000,43.01,4342000000,3926000000,1747454000,,694000000,-57000000,-260000000,0.134,0.147
17170,明豊ファシリティ,配当予想の修正（増配）に関するお知らせ,2026-03-18 16:00:00,,True,,,,,,,,,,,,,,,
64240,高見サイ,配当予想の修正（増配）に関するお知らせ,2026-03-18 16:00:00,,True,,,,,,,,,,,,,,,
64240,高見サイ,業績予想の修正に関するお知らせ,2026-03-18 16:00:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,15391000000,,1374000000,1307000000,,227.6,,,,,,,,,
32380,セントラル総,2026年３月期　通期連結業績予想および配当予想の修正に関するお知らせ,2026-03-18 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,30883000000,,1245000000,765000000,497000000,51.9,,,,,,,,,
34680,Ｒ－スターアジア,2026年１月期　決算短信（ＲＥＩＴ）,2026-03-18 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 8, 1), end_date=datetime.date(2026, 1, 31))",True,10269000000,,5788740000,4754253000,,1769,293847000000,,15446219000,,14031000000,-9074000000,-4843000000,,0.016
40530,サンアスタリスク,（訂正・数値データ訂正）「2025年12月期 決算短信〔日本基準〕（連結）」の一部訂正に関するお知らせ,2026-03-18 15:30:00,"DurationPeriod(start_date=datetime.date(2024, 1, 1), end_date=datetime.date(2024, 12, 31))",True,14835000000,7189000000,1052000000,998000000,476000000,12.59,16109000000,10662000000,7895000000,,1354000000,-534000000,624000000,0.045,0.066
46900,日パレット,特別損失の計上及び業績予想の修正に関するお知らせ,2026-03-18 15:30:00,,True,6935000000,,368000000,471000000,,185.26,,,,,,,,,
63350,東京機,業績予想の修正に関するお知らせ,2026-03-18 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,7401000000,,641000000,751000000,345000000,42.13,,,,,,,,,
68090,ＴＯＡ,業績予想の修正および期末配当予想の修正（増配）に関するお知らせ,2026-03-18 15:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,50626000000,,3591000000,3922000000,2367000000,78.75,,,,,,,,,
86240,いちよし,2026年３月期の期末配当予定について,2026-03-18 12:00:00,,True,,,,,,,,,,,,,,,
296A0,Ｇ－令和ＡＨ,通期業績予想及び期末配当予想の修正に関するお知らせ,2026-03-18 11:30:00,"DurationPeriod(start_date=datetime.date(2025, 4, 1), end_date=datetime.date(2026, 3, 31))",True,4979000000,,1494000000,1478000000,1014000000,26.96,,,,,,,,,
64590,大和冷機,（再訂正・数値データの再訂正）「2025年12月期 決算短信〔日本基準〕（非連結）」の一部訂正について,2026-03-18 10:30:00,"DurationPeriod(start_date=datetime.date(2025, 1, 1), end_date=datetime.date(2025, 12, 31))",True,46919738000,26332325000,7477522000,7444613000,,102.83,93543000000,70549000000,59210621000,,4299000000,-1515000000,-2960000000,0.073,0.08
