code,company_name,title,pubdate,text_path,word_path,word_count
60220,赤阪鉄,通期業績予想の修正及び配当予想の修正に関するお知らせ,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\60220_通期業績予想の修正及び配当予想の修正に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\60220_通期業績予想の修正及び配当予想の修正に関するお知らせ_words.csv,2225
60990,エラン,2026年12月期第1四半期決算短信〔日本基準〕（連結）,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\60990_2026年12月期第1四半期決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\60990_2026年12月期第1四半期決算短信〔日本基準〕（連結）_words.csv,2371
61410,ＤＭＧ森精機,2026年12月期 第１四半期決算短信〔ＩＦＲＳ〕（連結）,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\61410_2026年12月期 第１四半期決算短信〔ＩＦＲＳ〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\61410_2026年12月期 第１四半期決算短信〔ＩＦＲＳ〕（連結）_words.csv,4133
67240,エプソン,2026年３月期 決算短信〔ＩＦＲＳ〕（連結）,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\67240_2026年３月期 決算短信〔ＩＦＲＳ〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\67240_2026年３月期 決算短信〔ＩＦＲＳ〕（連結）_words.csv,5855
74460,東北化学,2026年９月期 第２四半期（中間期）決算短信〔日本基準〕(連結),2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\74460_2026年９月期 第２四半期（中間期）決算短信〔日本基準〕(連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\74460_2026年９月期 第２四半期（中間期）決算短信〔日本基準〕(連結)_words.csv,2130
77400,タムロン,2026年12月期 第１四半期決算短信〔日本基準〕（連結）,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\77400_2026年12月期 第１四半期決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\77400_2026年12月期 第１四半期決算短信〔日本基準〕（連結）_words.csv,3150
81650,千趣会,2026年12月期 第１四半期決算短信〔日本基準〕（連結）,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\81650_2026年12月期 第１四半期決算短信〔日本基準〕（連結）.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\81650_2026年12月期 第１四半期決算短信〔日本基準〕（連結）_words.csv,3178
81850,チヨダ,（訂正・数値データ訂正）2026年２月期 決算短信〔日本基準〕(連結),2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\81850_（訂正・数値データ訂正）2026年２月期 決算短信〔日本基準〕(連結).txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\81850_（訂正・数値データ訂正）2026年２月期 決算短信〔日本基準〕(連結)_words.csv,2769
82140,ＡＯＫＩ　ＨＤ,連結業績予想の修正に関するお知らせ,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\82140_連結業績予想の修正に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\82140_連結業績予想の修正に関するお知らせ_words.csv,614
87130,フィデアＨＤ,業績予想の修正に関するお知らせ,2026-05-01 15:30:00,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_text\2026\20260501\87130_業績予想の修正に関するお知らせ.txt,C:\Users\ojiro\Documents\PythonFolder\KabuPython\csv\pdf_words\2026\20260501\87130_業績予想の修正に関するお知らせ_words.csv,471
